merchant_category,txn_count,total_volume,avg_txn_value,error_rate_pct
Service Stations,142172,7282118.94,51.22,1.72
Miscellaneous Food Stores,146068,5907446.94,40.44,1.46
Money Transfer,59029,5317021.28,90.07,3.17
"Grocery Stores, Supermarkets",159206,4105609.39,25.79,1.1
Wholesale Clubs,60717,3813640.66,62.81,1.99
Drug Stores and Pharmacies,76859,3478834.3,45.26,1.64
"Utilities - Electric, Gas, Water, Sanitary",24444,2774142.17,113.49,2.54
Department Stores,47686,2689326.69,56.4,2.01
Eating Places and Restaurants,99869,2629655.43,26.33,1.02
Automotive Service Shops,47774,2494986.66,52.22,1.52
Telecommunication Services,21685,2459091.22,113.4,2.52
Tolls and Bridge Fees,67557,2388940.35,35.36,2.06
Fast Food Restaurants,50076,1316165.0,26.28,1.03
Taxicabs and Limousines,50297,1191068.26,23.68,1.34
"Insurance Sales, Underwriting",5123,1185645.46,231.44,1.74
